년도,구,나이,지체,청각,시각,뇌병변,지적,정신,신장,자폐성,언어,장루.요루,호흡기,간,뇌전증,심장,안면,
2019,종로구,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
2019,종로구,3,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,
2019,종로구,4,1,0,0,0,1,0,0,2,0,0,0,1,0,0,0,
2019,종로구,5,0,0,1,1,2,0,0,1,0,0,0,0,0,0,0,
2019,종로구,6,0,2,0,1,3,0,0,2,0,0,0,0,0,0,0,
2019,종로구,7,0,0,1,1,3,0,0,3,1,0,0,0,0,0,0,
2019,종로구,8,0,1,1,1,2,0,0,3,0,0,0,0,0,0,0,
2019,종로구,9,0,2,1,2,7,0,0,3,0,0,0,0,0,0,0,
2019,종로구,10,1,0,0,1,2,0,0,4,0,0,0,0,0,0,0,
2019,종로구,11,0,1,3,1,8,0,0,6,0,0,0,0,0,0,0,
2019,종로구,12,0,0,0,5,5,0,0,5,0,0,0,0,0,0,0,
2019,종로구,13,1,3,0,5,5,0,0,4,0,0,0,0,0,1,0,
2019,종로구,14,0,3,1,1,7,0,0,2,0,0,0,0,0,0,0,
2019,종로구,15,0,2,3,1,4,0,0,6,0,0,0,0,0,0,0,
2019,종로구,16,0,1,4,0,8,0,0,1,0,0,0,0,0,0,0,
2019,종로구,17,1,1,8,2,11,0,0,2,1,0,0,0,0,0,0,
2019,종로구,18,1,1,1,3,7,0,0,6,0,0,0,0,0,0,0,
2019,종로구,19,1,2,4,1,9,0,0,10,0,0,0,0,0,0,0,
2019,종로구,20,0,0,4,2,5,0,0,4,0,0,0,1,0,0,0,
2019,종로구,21,2,3,1,3,14,0,0,5,1,0,0,0,0,0,0,
2019,종로구,22,3,1,1,3,12,0,0,3,0,0,0,0,0,0,0,
2019,종로구,23,2,2,3,5,14,0,0,1,0,0,0,0,0,0,0,
2019,종로구,24,1,2,3,2,7,0,0,6,0,0,0,1,1,0,1,
2019,종로구,25,5,3,3,1,13,0,0,3,0,0,0,0,0,0,0,
2019,종로구,26,4,1,5,1,8,1,1,2,0,0,0,0,0,0,0,
2019,종로구,27,7,6,7,3,6,1,0,4,0,0,0,0,0,0,0,
2019,종로구,28,2,2,7,1,7,0,0,6,0,0,0,0,0,0,0,
2019,종로구,29,5,2,6,3,9,3,0,3,0,0,0,0,0,0,0,
2019,종로구,30,4,2,0,1,10,2,1,4,0,0,0,0,0,0,0,
2019,종로구,31,5,2,8,2,10,2,1,3,0,0,0,0,0,1,0,
2019,종로구,32,3,2,3,1,8,1,0,2,1,0,0,0,1,0,0,
2019,종로구,33,9,0,7,3,4,0,1,0,0,0,0,0,0,0,0,
2019,종로구,34,6,3,4,2,8,3,0,0,0,0,0,0,0,0,0,
2019,종로구,35,11,1,3,3,5,2,1,1,0,0,1,0,1,0,0,
2019,종로구,36,11,1,3,1,8,2,1,1,0,0,0,0,1,0,0,
2019,종로구,37,10,2,5,3,12,3,4,0,0,0,0,0,0,0,0,
2019,종로구,38,20,3,6,2,6,2,2,0,0,0,0,0,1,0,0,
2019,종로구,39,5,2,8,4,3,3,2,0,0,0,0,0,0,0,0,
2019,종로구,40,10,4,4,3,3,6,1,1,0,0,0,0,1,0,0,
2019,종로구,41,10,1,5,1,2,1,0,0,0,0,0,1,0,0,0,
2019,종로구,42,13,2,2,4,5,8,2,1,0,0,0,0,0,0,0,
2019,종로구,43,23,8,7,2,7,2,2,0,0,0,1,0,0,0,0,
2019,종로구,44,24,1,7,1,6,4,6,0,0,0,0,0,1,0,0,
2019,종로구,45,18,4,5,3,2,10,5,0,2,0,0,0,1,0,0,
2019,종로구,46,27,4,3,5,7,9,1,0,0,0,0,0,0,0,0,
2019,종로구,47,26,1,9,5,6,5,8,0,2,0,0,0,1,0,0,
2019,종로구,48,28,1,13,6,4,6,5,0,1,0,0,1,0,0,0,
2019,종로구,49,41,6,13,5,8,9,2,0,1,1,1,0,1,0,0,
2019,종로구,50,39,3,6,4,7,11,2,1,2,0,0,0,0,1,0,
2019,종로구,51,44,2,14,4,12,20,7,0,0,0,0,0,0,1,0,
2019,종로구,52,53,7,7,3,2,8,6,0,0,0,1,0,0,0,1,
2019,종로구,53,41,9,6,8,8,5,3,0,0,1,0,1,0,0,0,
2019,종로구,54,44,9,7,6,6,14,4,0,2,0,0,0,1,0,0,
2019,종로구,55,52,7,8,6,8,10,8,0,0,3,0,2,2,1,0,
2019,종로구,56,48,7,10,4,3,13,5,0,4,0,0,1,1,0,0,
2019,종로구,57,59,10,16,13,3,9,8,0,0,0,1,3,1,0,0,
2019,종로구,58,57,7,10,9,6,12,8,0,1,1,1,2,2,0,0,
2019,종로구,59,47,15,18,8,7,9,6,0,0,0,0,3,0,0,1,
2019,종로구,60,78,10,16,12,4,8,3,0,0,1,1,2,0,0,0,
2019,종로구,61,65,20,19,10,4,7,1,0,0,0,1,4,0,0,0,
2019,종로구,62,58,18,13,14,3,10,4,0,1,1,1,4,1,0,1,
2019,종로구,63,61,14,7,12,3,5,7,0,0,0,0,1,0,1,0,
2019,종로구,64,84,26,15,12,4,5,9,0,3,2,1,0,1,0,1,
2019,종로구,65,61,15,16,17,0,5,8,0,2,2,1,1,0,1,0,
2019,종로구,66,58,17,8,11,1,4,8,0,0,0,2,3,0,0,0,
2019,종로구,67,82,13,16,10,0,7,7,0,0,0,1,0,0,0,0,
2019,종로구,68,47,10,19,14,0,2,4,0,4,0,0,1,0,1,0,
2019,종로구,69,61,12,11,9,1,1,6,0,2,1,1,3,0,0,0,
2019,종로구,70,51,16,14,8,4,4,8,0,0,2,1,1,0,0,0,
2019,종로구,71,70,13,17,18,0,2,9,0,0,0,1,2,0,0,0,
2019,종로구,72,75,27,19,18,2,5,6,0,0,0,0,0,0,0,0,
2019,종로구,73,66,19,24,11,1,0,3,0,0,1,3,2,0,0,0,
2019,종로구,74,68,23,13,12,0,3,4,0,0,1,0,2,0,1,1,
2019,종로구,75,76,22,20,9,0,2,9,0,0,0,1,1,1,1,0,
2019,종로구,76,77,28,15,22,1,1,6,0,0,0,0,2,0,0,0,
2019,종로구,77,112,36,26,28,0,1,2,0,1,3,1,0,0,0,0,
2019,종로구,78,81,36,14,21,0,1,7,0,3,2,0,0,0,0,0,
2019,종로구,79,56,40,16,12,0,0,8,0,0,2,0,0,0,0,0,
2019,종로구,80,66,33,22,18,1,1,4,0,1,0,0,0,0,1,0,
