년도,구,나이,지체,청각,시각,뇌병변,지적,정신,신장,자폐성,언어,장루.요루,호흡기,간,뇌전증,심장,안면
2020,종로구,1, - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - 
2020,종로구,2, - , 1 , 1 , - , - , - , - , - , - , - , - , - , - , - , - 
2020,종로구,3, - , - , 1 , - , - , - , - , 2 , - , - , - , - , - , - , - 
2020,종로구,4, 1 , - , - , - , 2 , - , 1 , 2 , - , - , - , - , - , - , - 
2020,종로구,5, 1 , - , - , - , 3 , - , - , 2 , - , - , - , 1 , - , - , - 
2020,종로구,6, - , - , 1 , 1 , 3 , - , - , 3 , 1 , - , - , - , - , - , - 
2020,종로구,7, - , 2 , - , 1 , 2 , - , - , 1 , - , - , - , - , - , - , - 
2020,종로구,8, - , - , 2 , 1 , 3 , - , - , 4 , - , - , - , - , - , - , - 
2020,종로구,9, - , 1 , 1 , 1 , 1 , - , - , 3 , - , - , - , - , - , - , - 
2020,종로구,10, - , 2 , 1 , 2 , 7 , - , - , 2 , - , - , - , - , - , - , - 
2020,종로구,11, 1 , - , - , 1 , 1 , - , - , 3 , - , - , - , - , - , - , - 
2020,종로구,12, 2 , 2 , 4 , 1 , 8 , - , - , 5 , - , - , - , - , - , - , - 
2020,종로구,13, - , - , 1 , 3 , 5 , - , - , 5 , - , - , - , - , - , - , - 
2020,종로구,14, 1 , 4 , - , 4 , 4 , - , - , 3 , - , - , - , - , - , 1 , - 
2020,종로구,15, 1 , 2 , 1 , 1 , 8 , - , - , 1 , - , - , - , - , - , - , - 
2020,종로구,16, - , 2 , 3 , 1 , 5 , - , - , 6 , - , - , - , - , - , - , - 
2020,종로구,17, 1 , 1 , 3 , - , 8 , - , - , 1 , - , - , - , - , - , - , - 
2020,종로구,18, 1 , 1 , 8 , 2 , 13 , - , - , 1 , 1 , - , - , - , - , - , - 
2020,종로구,19, 2 , 2 , 1 , 3 , 7 , - , - , 6 , - , - , - , - , - , - , - 
2020,종로구,20, 1 , 2 , 3 , - , 9 , - , - , 10 , - , - , - , - , - , - , - 
2020,종로구,21, 1 , - , 3 , 2 , 6 , - , - , 4 , - , - , - , 1 , - , - , - 
2020,종로구,22, 2 , 3 , 2 , 4 , 15 , - , - , 3 , 1 , - , - , - , - , - , - 
2020,종로구,23, 3 , 1 , 3 , 2 , 12 , 1 , - , 2 , - , - , - , - , - , - , - 
2020,종로구,24, 2 , 2 , 2 , 3 , 10 , - , - , - , - , - , - , - , - , - , - 
2020,종로구,25, 2 , 1 , 3 , 2 , 9 , - , - , 5 , - , 1 , - , 1 , 1 , - , 1 
2020,종로구,26, 3 , 2 , 2 , 1 , 11 , - , - , 3 , - , - , - , - , - , - , - 
2020,종로구,27, 6 , 1 , 4 , 1 , 8 , 1 , - , 2 , - , 1 , - , - , - , - , - 
2020,종로구,28, 6 , 7 , 7 , 5 , 6 , 2 , 1 , 4 , - , - , - , - , - , - , - 
2020,종로구,29, 5 , 2 , 7 , 1 , 7 , 1 , - , 6 , - , - , - , - , - , - , - 
2020,종로구,30, 3 , 1 , 6 , 3 , 8 , 3 , 1 , 2 , - , - , - , - , - , - , - 
2020,종로구,31, 6 , 2 , - , 1 , 10 , 2 , 1 , 2 , - , - , - , - , - , - , - 
2020,종로구,32, 3 , 1 , 6 , 2 , 9 , 2 , 2 , 2 , - , - , - , - , - , 1 , - 
2020,종로구,33, 3 , 2 , 3 , 1 , 10 , 1 , 1 , 2 , - , - , - , - , - , - , - 
2020,종로구,34, 7 , - , 8 , 3 , 4 , 1 , 2 , - , - , - , - , - , - , - , - 
2020,종로구,35, 6 , 3 , 5 , 2 , 9 , 2 , 1 , - , - , - , - , - , - , - , - 
2020,종로구,36, 15 , - , 1 , 2 , 6 , 1 , - , 1 , - , - , 1 , - , - , - , - 
2020,종로구,37, 9 , - , 3 , 1 , 8 , 3 , 1 , 1 , - , - , - , - , 1 , - , - 
2020,종로구,38, 8 , 4 , 6 , 4 , 11 , 2 , 5 , - , - , - , - , - , - , - , - 
2020,종로구,39, 21 , 2 , 7 , 3 , 6 , 2 , 4 , - , - , - , - , - , - , - , - 
2020,종로구,40, 9 , 2 , 9 , 4 , 4 , 3 , 2 , - , - , - , - , - , - , - , - 
2020,종로구,41, 13 , 3 , 4 , 3 , 4 , 6 , 2 , 1 , - , - , - , - , - , - , - 
2020,종로구,42, 11 , 1 , 6 , 3 , 2 , 1 , 1 , - , - , - , - , 1 , - , - , - 
2020,종로구,43, 12 , 2 , 2 , 4 , 5 , 8 , 2 , 1 , - , - , - , 1 , - , - , - 
2020,종로구,44, 25 , 5 , 8 , 2 , 7 , 2 , 3 , - , - , - , 1 , - , - , - , - 
2020,종로구,45, 22 , 3 , 6 , - , 6 , 4 , 7 , - , 1 , - , - , - , 1 , - , - 
2020,종로구,46, 19 , 4 , 5 , 3 , 2 , 10 , 3 , - , 2 , - , - , - , 1 , - , - 
2020,종로구,47, 22 , 4 , 5 , 3 , 9 , 7 , 2 , - , - , - , - , - , - , - , - 
2020,종로구,48, 31 , 2 , 10 , 5 , 6 , 5 , 9 , - , 2 , - , - , - , 1 , - , - 
