년도,구,지체,청각,시각,뇌병변,지적,정신,신장,자폐성,언어,장루요루,호흡기,간,뇌전증,심장,안면,지체수검률,청각수검률,시각수검률,뇌병변수검률,지적수검률,정신수검률,신장수검률,자폐성수검률,언어수검률,장루요루수검률,호흡기수검률,간수검률,뇌전증수검률,심장수검률,안면수검률
2020,종로구, 704 , 169 , 55 , 181 , 58 , 22 , 29 , 12 , 6 , 3 , 5 , 8 , 2 , 2 , 1 ,62.2 ,58.3 ,33.3 ,53.9 ,57.4 ,47.8 ,30.2 ,52.2 ,40.0 ,27.3 ,41.7 ,38.1 ,40.0 ,100.0 ,100.0 
2020,중구, 616 , 152 , 66 , 185 , 43 , 21 , 27 , 4 , 3 , 7 , 4 , 6 , 2 , 2 , 1 ,60.0 ,54.9 ,35.1 ,56.1 ,55.8 ,43.8 ,34.6 ,40.0 ,50.0 ,58.3 ,33.3 ,50.0 ,40.0 ,66.7 ,50.0 
2020,용산구, 836 , 225 , 62 , 206 , 61 , 22 , 32 , 6 , 6 , 10 , 4 , 13 , 2 , 7 , 2 ,59.7 ,57.8 ,27.0 ,49.2 ,53.0 ,37.3 ,27.8 ,27.3 ,35.3 ,43.5 ,36.4 ,48.1 ,50.0 ,70.0 ,50.0 
2020,성동구," 1,539 ", 308 , 144 , 319 , 108 , 29 , 47 , 15 , 17 , 11 , 8 , 19 , 6 , 12 , 5 ,63.7 ,62.1 ,38.2 ,51.2 ,56.8 ,45.3 ,33.3 ,44.1 ,51.5 ,36.7 ,27.6 ,47.5 ,60.0 ,54.5 ,83.3 
2020,광진구," 1,706 ", 360 , 170 , 375 , 126 , 55 , 78 , 9 , 15 , 17 , 9 , 8 , 5 , 6 , 1 ,65.8 ,62.6 ,42.3 ,58.9 ,58.1 ,51.9 ,40.0 ,24.3 ,51.7 ,47.2 ,45.0 ,38.1 ,41.7 ,50.0 ,100.0 
2020,동대문구," 2,028 ", 377 , 195 , 513 , 121 , 68 , 82 , 16 , 24 , 17 , 13 , 19 , 8 , 9 , 4 ,64.7 ,60.3 ,36.0 ,59.4 ,49.6 ,53.5 ,39.6 ,45.7 ,60.0 ,50.0 ,46.4 ,51.4 ,72.7 ,56.3 ,57.1 
2020,중랑구," 2,690 ", 501 , 265 , 580 , 174 , 66 , 100 , 24 , 28 , 34 , 25 , 19 , 10 , 11 , 6 ,65.6 ,61.9 ,44.5 ,61.8 ,56.7 ,46.8 ,40.0 ,45.3 ,57.1 ,50.0 ,61.0 ,61.3 ,52.6 ,68.8 ,85.7 
2020,성북구," 2,346 ", 515 , 209 , 581 , 142 , 53 , 92 , 20 , 29 , 19 , 9 , 22 , 5 , 8 , 6 ,66.5 ,66.8 ,35.9 ,56.0 ,53.8 ,47.3 ,39.1 ,46.5 ,64.4 ,46.3 ,37.5 ,44.0 ,55.6 ,61.5 ,75.0 
2020,강북구," 2,144 ", 494 , 195 , 598 , 128 , 63 , 74 , 8 , 20 , 23 , 12 , 23 , 10 , 4 , 3 ,67.1 ,66.9 ,42.2 ,61.1 ,49.8 ,53.8 ,37.4 ,32.0 ,50.0 ,43.4 ,50.0 ,62.2 ,76.9 ,40.0 ,100.0 
2020,도봉구," 2,048 ", 466 , 217 , 529 , 136 , 67 , 104 , 22 , 12 , 26 , 15 , 22 , 7 , 8 , 5 ,67.9 ,66.5 ,41.7 ,61.2 ,53.1 ,49.3 ,46.4 ,51.2 ,38.7 ,53.1 ,53.6 ,57.9 ,50.0 ,80.0 ,55.6 
2020,노원구," 3,041 ", 633 , 272 , 700 , 164 , 76 , 129 , 29 , 37 , 35 , 17 , 27 , 12 , 16 , 11 ,67.1 ,63.0 ,36.1 ,56.7 ,40.9 ,44.7 ,41.6 ,34.5 ,48.7 ,54.7 ,48.6 ,67.5 ,60.0 ,53.3 ,61.1 
2020,은평구," 2,674 ", 581 , 253 , 740 , 202 , 80 , 103 , 28 , 28 , 29 , 13 , 28 , 7 , 9 , 7 ,68.9 ,60.8 ,40.3 ,61.1 ,52.7 ,51.6 ,35.4 ,51.9 ,52.8 ,50.0 ,43.3 ,58.3 ,46.7 ,56.3 ,63.6 
2020,서대문구," 1,539 ", 349 , 176 , 403 , 92 , 42 , 64 , 13 , 12 , 14 , 8 , 13 , 3 , 5 , 2 ,65.4 ,63.1 ,40.5 ,58.7 ,50.0 ,42.9 ,37.9 ,44.8 ,41.4 ,35.9 ,47.1 ,44.8 ,60.0 ,35.7 ,100.0 
2020,마포구," 1,502 ", 362 , 148 , 356 , 105 , 51 , 79 , 16 , 20 , 18 , 8 , 21 , 7 , 4 , 2 ,62.4 ,60.9 ,33.0 ,52.7 ,50.5 ,50.0 ,38.5 ,51.6 ,52.6 ,51.4 ,57.1 ,48.8 ,58.3 ,30.8 ,100.0 
